title,desc,link
Red Crushed Ruched Neck Tie Top,Add a pop of color to your wardrobe with this red top. It comes with a neck tie-up detail and a ruched front.     Style Tip: Complete your look with silver hoops. Color: Red   Material: Crepe   Neck:Square   Self Design   Sleeves: Short   Closure: Slip On ,https://www.faballey.com/red-crushed-ruched-neck-tie-top-78/prdt
Black Puff Sleeve Embellished Wrap Top,"Black wrap top in georgette.   Crafted with short puff sleeves, this wrap top features embellishment on the shoulders, a V-neck and a zip closure. Color: Black   Material: Georgette   Neck: V Neck   Sleeve: Short   Closure: Zip ",https://www.faballey.com/black-puff-sleeve-embellished-wrap-top-78/prdt
Red Ruched Front Neck Tie Up Top,"Chic and on fleek, pick this red top for a stylish summer. It features a ruched bodice and comes with a neck tie-up detail.     Style Tip: Pair this top with neutral pants and block heels. Color: Red   Material: Georgette   Neck: Keyhole   Sleeves: Three Quarter   Closure: ",https://www.faballey.com/red-ruched-front-neck-tie-up-top-78/prdt
Green Lace Strappy Belted Peplum Top,"Chic and on fleek, this green peplum top totally deserves a spot in your closet. Tailored in floral lace, this top has strappy shoulders and comes with a self-fabric belt that accentuates the waist. Color: Green   Sleeveless   Pattern: Floral   Fabric: Lace   Neck: Strappy   Closure: Zip ",https://www.faballey.com/green-lace-strappy-belted-peplum-top-78/prdt
Lilac Schiffli Trim Detail Crop Top,"Simple yet stylish, this lilac crop top will become your go-to pick.Tailored in schiffli, it features cute puff sleeves and a trim detail. Color: Purple   Sleeves: Short   Pattern: Embroidered   Fabric: Cotton   Neck: Round   Closure:Zip ",https://www.faballey.com/lilac-schiffli-trim-detail-crop-top-78/prdt
Peach Frilled Sleeve Crop Top,"This statement top is just the pick you need to stand out this season. Tailored in georgette, it features frills on the sides and trim insert detail. Color: Peach   Sleeveless   Fabric: Georgette   Neck: Round   Closure: Button ",https://www.faballey.com/peach-frilled-sleeve-crop-top-78/prdt
Peach Collared Belted Wrap Top,"Looking to upgrade your work wardrobe?This chic peach collared top is just what you need. Featuring a wrap design and a lapel collar, it comes with a buckled self-fabric belt that gives a flattering fit. Color: Peach   Material: Poly Lycra   Neck: Collared   Sleeveless   Closure: Button ",https://www.faballey.com/peach-collared-belted-wrap-top-78/prdt
Blush Polka Buttoned Blouse,"Elevate your summer style with this cute blush blouse. Peppered with polka print, it comes with a buttoned detail in the front.     Style Tip: Complete your look with hoop earrings. Color: Pink   Material: Polyester   V-Neck   Pattern: Geometric   Sleeves: Three Quarter   Closure: Button ",https://www.faballey.com/blush-polka-buttoned-blouse-78/prdt
Pink Buttoned Pleated Dobby Peplum Top,"Amp up your everyday style with this cute pink peplum top. With a self-design pattern, it features buttons in the front and balloon sleeves.     Style Tip: Pair the top with pearl hoop earrings. Color: Pink   Material: Georgette   Neck: Sweetheart   Pattern: Self Design   Sleeves: Three Quarter   Closure: Zip ",https://www.faballey.com/pink-buttoned-pleated-dobby-peplum-top-78/prdt
Wine Cut Out Neck Lace Top,"Pick this chic lilac top for the sunny days ahead. Tailored in lace, it comes with a keyhole neck and a ruching detail on the sleeves.     Style Tip: Pair this top with beige trousers and strappy heels. Color: Purple   Material: Lace   Neck: Keyhole   Pattern: Floral   Sleeves: Short   Closure: Button ",https://www.faballey.com/wine-cut-out-neck-lace-top-78/prdt
Red Puff Sleeve Smocked Top,Add a pop of color to your wardrobe with this vibrant red top. It features a smocked bodice and chic puff sleeves.     Style Tip: Pair the top with white flared jeans and casual shoes for a fool-proof OOTD. Color: Red   Material: Crepe   V-Neck   Self Design   Sleeves: Short   Closure: Slip On ,https://www.faballey.com/red-puff-sleeve-smocked-top-78/prdt
Pink Printed Ruffle Sleeve Peplum Top,Colour: Pink  Material: Polyester  Print: Floral   Neck: Round  Sleeve: Short  Closure: Button ,https://www.faballey.com/pink-printed-ruffle-sleeve-peplum-top-78/prdt
